year,sido,sigungu,vehicle_type,manufacturer,model_name,national_subsidy,local_subsidy,total_subsidy
2026,부산,부산광역시,일반승용,테슬라코리아,Model Y L AWD,210.0,63.0,273.0
2026,부산,부산광역시,일반승용,테슬라코리아,Model Y Long Range(2025),210.0,63.0,273.0
2026,부산,부산광역시,일반승용,테슬라코리아,Model Y Premium Long Range,210.0,63.0,273.0
2026,부산,부산광역시,일반승용,테슬라코리아,Model Y Premium RWD,170.0,51.0,221.0
2026,부산,부산광역시,일반승용,테슬라코리아,Model Y RWD(2025),170.0,51.0,221.0
2026,부산,부산광역시,일반승용,폭스바겐그룹코리아,ID.4 Pro,432.0,129.0,561.0
2026,부산,부산광역시,일반승용,폭스바겐그룹코리아,Q4 45 e-tron,206.0,61.0,267.0
2026,부산,부산광역시,일반승용,폭스바겐그룹코리아,Q4 Sportback 45 e-tron,206.0,61.0,267.0
2026,부산,부산광역시,일반승용,폭스바겐그룹코리아,Q6 e-tron performance,220.0,66.0,286.0
2026,부산,부산광역시,일반승용,폭스바겐그룹코리아,iD.5 Pro,473.0,141.0,614.0
2026,부산,부산광역시,일반승용,현대자동차,ELECTRIFIED G80,270.0,81.0,351.0
2026,부산,부산광역시,일반승용,현대자동차,ELECTRIFIED GV70 AWD 19인치,261.0,78.0,339.0
2026,부산,부산광역시,일반승용,현대자동차,ELECTRIFIED GV70 AWD 20인치,245.0,73.0,318.0
2026,부산,부산광역시,일반승용,현대자동차,GV60 스탠다드 2WD 19인치,285.0,85.0,370.0
2026,부산,부산광역시,일반승용,현대자동차,GV60 스탠다드 AWD 19인치,272.0,81.0,353.0
2026,부산,부산광역시,일반승용,현대자동차,GV60 스탠다드 AWD 20인치,261.0,78.0,339.0
2026,부산,부산광역시,일반승용,현대자동차,더 뉴 아이오닉5 2WD 롱레인지 19인치,564.0,169.0,733.0
2026,부산,부산광역시,일반승용,현대자동차,더 뉴 아이오닉5 2WD 롱레인지 19인치 빌트인 캠 미적용,567.0,170.0,737.0
2026,부산,부산광역시,일반승용,현대자동차,더 뉴 아이오닉5 2WD 롱레인지 20인치,559.0,167.0,726.0
2026,부산,부산광역시,일반승용,현대자동차,더 뉴 아이오닉5 2WD 롱레인지 N라인 20인치,541.0,162.0,703.0
2026,부산,부산광역시,일반승용,현대자동차,더 뉴 아이오닉5 2WD 스탠다드 19인치,483.0,144.0,627.0
2026,부산,부산광역시,일반승용,현대자동차,더 뉴 아이오닉5 AWD 롱레인지 19인치,558.0,167.0,725.0
